"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q52,Q128,Q80,Q111,Q25,Q57,Q35,Q47,Q78,Q67,Q89,Q26,Q12,Q41,Q109,Q136,Q132,Q44,Q33,Q10,Q43,Q97,Q135,Q88,Q100,Q108,Q92,Q29,Q72,Q31,Q131,Q120,Q74,Q28,Q119,Q18,Q49,Q134,Q96,Q20,Q84,Q116,Q69,Q103,Q133,Q66,Q56,Q75,Q107,Q95,Q48,Q32,Q55,Q71,Q38,Q19,Q112,Q130,Q94,Q24,Q39,Q83,Q93,Q122,Q127,Q79,Q98,Q129,Q59,Q36,Q51,Q17,Q102,Q63,Q64,Q16,Q124,Q46,Q11,Q54,Q9,Q82,Q99,Q4,Q27,Q86,Q87,Q60,Q40,Q125,Q76,Q90,Q104,Q117,Q3,Q68,Q123,Q81,Q62,Q70,Q5,Q85,Q6,Q91,Q114,Q115,Q106";"SOT-23";107;"FDN335N";;;
2;"U21,Q1,U74,U57,U56,U6,Q118,U33,U8,U3,U27,U75,U32,U45,U23,U42,Q30,U22,U30,U60,Q45,U51,U26,U14,U58,Q105,U47,Q65,U63,U9,Q121,Q34,U12,U10,U4,Q7,U48,U66,U37,Q22,Q73,U7,U19,Q77,U40,Q110,U43,U54,U17,U34,U11,Q58,U36,Q15,Q50,Q126,U35,Q23,U71,Q2,U53,Q37,U16,Q53,U24,U55,U49,U50,U38,U44,U62,U29,U13,Q8,U28,Q14,Q101,U5,U70,Q13,U20,U39,Q113,U25,U67,U76,U46,U64,U31,U68,U72,U52,U59,Q42,U77,U18,U15,Q21,U79,Q61,U61,U2,U65,U69,U41,U73,U78";"SOT-23";107;"FDN360P";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"PWR";;;
4;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"OUT";;;
5;"RV1";"Potentiometer_Bourns_TC33X_Vertical";1;"100K";;;
6;"R12,R1,R10,R2,R11,R13";"R_0805_2012Metric";6;"10K";;;
7;"SW2,SW1";"SW_SPST_TL3342";2;"SW_Push";;;
8;"R9,R8,R4,R3,R7,R5";"R_0805_2012Metric";6;"330R";;;
9;"C1";"C_0805_2012Metric";1;"10nF";;;
10;"C2";"C_0805_2012Metric";1;"10µF";;;
11;"R6";"R_0805_2012Metric";1;"1K";;;
12;"D3,D1,D5,D4,D6,D2";"LED_0805_2012Metric";6;"LED_Small";;;
13;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM555xM";;;
